Job_ID,Job_Title,Min_YOE,Est_Salary,JD_Trans,L1,L2,L3,L4,MinL,Location,VN,Remote,W_Term,W_Term_2,W_Term_3,W_Term_4,Data_Engineer,Data_Analyst,Data_Scientist,Business_Analyst,Business_Intelligence,Combined_role,Others
5585,Head of Operations,NA,2540,Experience as a head of operations or in a similar role; Solid kinh nghi?m of data analytics; Strong mathematical literacy.,4,,,,4,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5584,Data Partner,4,3500,Min 4 years of solid experience in data and AI related fields; Min 2 years of experience in a stakeholder management position; Experience in working with SQL and Excel,2,3,,,2,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5583,In-Business AML Control,2,1700,2-4 years of relevant experience; Experience in data analysis and problem solving with acute attention to detail.,1,2,,,1,HCM,1,0,Fulltime,Hybrid,,,0,0,0,0,0,0,1
5582,Senior Data Engineer,NA,2500,"Data Warehouse: BigQuery, Oracle;Data Source: App Events, Oracle, MySQL, MSSQL, Kafka, Pubsub, REST API; Data Pipeline Orchestration: Airflow; BI: Datastudio;",1,2,,,1,HCM,1,0,Fulltime,,,,1,0,0,0,0,0,0
5581,Anti-Fraud Officer,1,1800,"Over 1 year on data analysis; There is a background of knowledge about finance, statistics, data mining, machine learning;",1,2,,,1,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5580,Merchandise Planning Specialist - Lush,2,1270,Preferably 2 years experience in merchandising/ inventory/ planning or related fields.; Posses data analysis skill; Proficient in Excel.,1,2,,,1,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5579,Advanced Analytics Executive,1,1800,Experience at least 01 year in the field of data analysis,1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5578,Data Analyst,1,1600,At least 1-2 year of working experience in data analyst position.,1,2,,,1,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5577,Data Governance Analyst,2,2200,"A minimum of 2 years relevant work experience in consulting/ designing/ oeprating/ implementing policiles, processes related to data governance/ data management as data governance analyst or data analyst.",1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5575,Manufacturing Excellence Coordinator,1,1200,Graduated from university majoring in data automation/ data science; There are 1-2 years of experience in the equivalent position,1,,,,1,Bac Ninh,1,0,Fulltime,Hybrid,,,0,0,0,0,0,0,1
5574,Data Analyst,3,1270,Cau Giay recruits 1 Data Analyst from 3 years of experience. Salary 20-30 million+ bonus.,2,,,,2,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5573,Data Scientist - Middle / Senior,3,2500,Have at least 3-5 years of experience in Data Science.,1,2,,,1,HCM,1,0,Fulltime,Hybrid,,,0,0,1,0,0,0,0
5572,Data Engineer,2,1185,2 Talented Data Engineer from 2 years of experience working at Lo Duc - HBT - Hanoi; Range salary: 17 - 28m,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5571,Business Intelligence Leader,2,1485,"From 2 years of Lead experience; Tools: Excel, SQL, Power Bi",2,3,,,2,HN,1,0,Fulltime,,,,0,0,0,0,1,0,0
5570,Data Engineer,2,1270,"HN needs 2 #data analysta #engineer from 2 years of experience, with an offer of 18-30m.",1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5569,Data Engineer,2,1060,HN recruited Data Engineer for 2 years of experience. Offer UPTO 25M. PV 1 round,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5567,SAP BI / BW / SAC Consultant,5,3000,Strong understanding of BI/BW/SAC ECC 6.0 & S4 HANA; Proficient in Power-BI and another BI tool,2,,,,2,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5566,Senior Data Engineer,3,2500,"3+ years’ experience working as a Data Engineer role, ETL with large amounts of data.",2,,,,2,HCM,1,0,Fulltime,,,,1,0,0,0,0,0,0
5565,Business Intelligence Specialist / Senior Specialist,3,2200,3-5 years’ experience in Business Intelligence or relevant role;,2,,,,2,HCM,1,0,Fulltime,,,,0,0,0,0,1,0,0
5564,NLP AI / ML / Data Scientist,5,2895,At least 5 years of overall experience including at least 3 years of experience in Data Science/Machine Learning/AI Engineer,2,,,,2,HCM,1,0,Fulltime,,,,0,0,1,0,0,0,0
5563,Artificial Intelligence Engineer (AI) - Natural Language Processing (NLP),5,2895,At least 5 years of overall experience including at least 3 years of experience in Data Science/Machine Learning/AI Engineer,2,,,,2,HCM,1,0,Fulltime,,,,1,0,1,0,0,1,0
5562,NLP Data Scientist ( DS ) / Artificial Intelligence ( AI ) / Machine Learning ( ML ),5,2895,At least 5 years of overall experience including at least 3 years of experience in Data Science/Machine Learning/AI Engineer,2,,,,2,HCM,1,0,Fulltime,,,,0,0,1,0,0,0,0
5561,Machine Learning Engineer | Data Scientist | AI Engineer - NLP,5,2895,At least 5 years of overall experience including at least 3 years of experience in Data Science/Machine Learning/AI Engineer,2,,,,2,HCM,1,0,Fulltime,,,,0,0,1,0,0,0,0
5560,Lead Data Engineer ( Any Cloud ),8,4000,At least 8 years of experience in total including at least 5 years of experience with Data Engineering,2,3,,,2,HCM,1,0,Fulltime,Hybrid,,,1,0,0,0,0,0,0
5559,Data Engineer Lead ( GCP / MS Azure / AWS ),8,4000,At least 8 years of experience in total including at least 5 years of experience with Data Engineering,2,3,,,2,HCM,1,0,Fulltime,Hybrid,,,1,0,0,0,0,0,0
5558,Lead GCP Cloud Data Engineer,8,4000,At least 8 years of experience in total including at least 5 years of experience in Data Engineering,2,3,,,2,HN,1,0,Fulltime,Hybrid,,,1,0,0,0,0,0,0
5557,Data Engineer | Data Analyst | Business Analyst,5,NA,"1 Data Engineer (AWS, Azure) and 1 Data Analyst/BA (SQL, Cloud, Data Platfroms) 5 years+Experience. Eng B1. Good offer Hoang Kiem, HN",2,,,,2,HN,1,0,Fulltime,,,,1,1,0,1,0,1,0
5556,Data Analyst,3,1270,Cau Giay recruits 1 Data Analyst from 3 years of experience. Salary 20-30 million+ bonus.,2,,,,2,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5555,Junior - Middle Data Engineer,2,1000,"At least 2+ years using Linux OS, Bash script",1,,,,1,HCM,1,0,Fulltime,,,,1,0,0,1,0,1,0
5554,Senior Data Engineer,NA,3200,12-month contract; Strong data warehousing/Data Engineering experience,2,,,,2,HCM,1,0,Fulltime,Hybrid,Contract,,1,0,0,0,0,0,0
5553,"Data Engineer ( Python, SQL, NoSQL )",5,2500,"Minimum of 5 years of experience in data engineering, with at least 3 years of hands-on experience in Google Cloud Platform (GCP) data engineering services",2,,,,2,HCM,1,0,Fulltime,,,,1,0,0,1,0,1,0
5552,Data Engineer,1,2540,At least 1 year of experience in the same position.,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5550,Data Engineer ( Junior / Middle ),2,1185,Experienced working in Data Engineer segment for 2 years or more.,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,1,0,1,0
5549,AI Engineer ( Python / Data Science ),1,1270,There are 1-2 years of experience in building and implementing AI/ml model.,1,,,,1,HN,1,0,Fulltime,,,,0,0,0,1,0,0,0
5548,Data Engineer,1,2330,At least 1 year of experience in the same position.,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5547,Data Engineering Manager,NA,3500,2+ years of experience as Data Engineering Manager,4,,,,4,HCM,1,0,Fulltime,,,,1,0,0,1,0,1,0
5546,Finance Planning & Analysis,3,1800,"3-5 years of general accounting experience; Analytical skillset, including use of Power BI and reporting tools is a plus.",2,,,,2,Binh Duong,1,0,Fulltime,,,,0,0,0,1,0,0,0
5545,MLOps Engineer ( Machine Learning ),2,1800,"At least 5 years of experience in analysis, digital data, risk management of consumer finance, retail customers",1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,1,0,1,0
5544,"Analyst ( Supplier Contracts, Promotions, Rebates, Pricing )",1,1500,"At least 1-year experience in data analytics, retail/wholesale/manufacturing, cost/pricing/promotional/rebates analysis, supplier compliance, accounts payable review, internal auditing, freight/logistics/supply chain…",1,2,,,1,HCM,1,0,Fulltime,,,,0,0,0,1,0,0,0
5543,Data Operations Engineer,NA,5000,Powerful algorithms and data structures from computer science; Knowledge of SQL or NoSQL data stores is pertinent,2,,,,2,HCM,1,0,Fulltime,,,,0,0,0,1,0,0,0
5542,Big Data Team Lead,5,3200,Experience with the appropriate technology for at least five years,2,3,,,2,HCM,1,0,Fulltime,,,,0,0,0,1,0,0,0
5541,Market Research Analyst ( All Levels ),0,1000,"More than 02 years of experience in market research, consulting, equity analysis is a plus;",1,2,,,1,HN,1,0,Fulltime,,,,0,0,0,1,0,0,0
5540,Business Development Lead,NA,3000,"Knowledge of analytical tools PowerBI, SQL, Stata, SAS, R is a strong plus",2,3,,,2,HN,1,0,Fulltime,,,,0,0,0,1,0,0,0
5539,Data Scientist,5,3400,Significant job experience (5 years) in the manufacturing sector related to quantitative analytics or machine learning,2,,,,2,HCM,1,0,Fulltime,,,,0,0,1,1,0,1,0
5538,Urgent - MIS Senior Officer ( LOTTE Finance ),3,1500,"3-5 years experiences; Experiences in data management, data analysis and structuring by company request",2,,,,2,HN,1,0,Fulltime,,,,0,0,0,1,0,0,0
5537,Intern / Junior Data Analyst,0,NA,HN Construction Bank - CB Bank Recruitment Internal/Junior Data Analyst does not require experience,0,1,,,0,HN,1,0,Fulltime,,,,0,1,0,1,0,1,0
5536,Data Scientist,2,1695,HN recruits Data Scientist Min 2 years of experience; Offer UPTO 40M+730k/month shift allowance,1,2,,,1,HN,1,0,Fulltime,,,,0,0,1,1,0,1,0
5535,Market Analyst Intern,0,210,"Final year or new graduates majoring in finance, business, economics, ...",0,,,,0,HN,1,0,Fulltime,,,,0,0,0,1,0,0,0
5533,Business Intelligence Intern,0,NA,"Key Technical Stack: Excel, SQL and Power BI.",0,,,,0,HCM,1,0,Fulltime,,,,0,0,0,1,1,1,0
5532,Senior Business Intelligence Developer,3,2500,3+ Years' experiences as Data analyst or Business Intelligence Analyst/Developer or Analytics Engineer.,2,,,,2,HN,1,0,Fulltime,,,,0,0,0,1,1,1,0
5531,Data Scientist - Middle / Senior,3,2500,Have at least 3-5 years of experience in Data Science.,1,2,,,1,HCM,1,0,Fulltime,Hybrid,,,0,0,1,0,0,0,0
5530,Head of Marketing Strategy & Analytics,NA,5500,Excellent analytical skills – you really need to love data for this role,4,,,,4,Thailand,0,0,Fulltime,,,,0,0,0,1,0,0,0
5529,"Associate Manager, Customer Marketing",5,4000,5+ years in Data Analyst position or otherwise in projects involving big data,2,4,,,2,Thailand,0,0,Fulltime,,,,0,0,0,1,0,0,0
5528,"Associate Manager/ Manager, Marketing Strategy & Analytics",5,6000,"Bangkok Based, Relocation Provided; 5+ years in Data Analyst position or otherwise in projects involving big data",2,4,,,2,Thailand,0,0,Fulltime,,,,0,0,0,1,0,0,0
5527,"Analyst, Strategy & Analytics ( Global Chains )",3,4000,"Minimum 3 years of experience working in business analysis / data analytics / business intelligence/ consulting or financial modeling roles in e-commerce, tech, consulting or financial services companies",2,,,,2,Thailand,0,0,Fulltime,,,,0,0,0,1,0,0,0
5526,Head of Search,NA,5500,Excellent analytical skills – you really need to love data for this role,4,,,,4,Thailand,0,0,Fulltime,,,,0,0,0,1,0,0,0
5525,Senior Manager – Marketing Strategies and Analytics,4,7000,"Bangkok Based, Relocation Provided. Working kinh nghi?m of SQL and Tableau is strongly preferred",4,,,,4,Thailand,0,0,Fulltime,,,,0,0,0,1,0,0,0
5524,"Manager, Marketing Strategy & Analytics",5,6000,"Bangkok Based, Relocation Provided; 5+ years in Data Analyst position or otherwise in projects involving big data",4,,,,4,Thailand,0,0,Fulltime,,,,0,0,0,0,0,0,1
5523,Data Engineering Expert,NA,3500,"Having kinh nghi?m and experience in physical architecture, logical architecture, basic components of Hadoop Eco-Sys: Ingestion layer, Processing layer, Consumtion layer",2,,,,2,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5522,Senior Risk Modeling Officer,NA,3000,"Bachelor of Mathematics - Economics, Data Science, and related majors",2,,,,2,HN,1,0,Fulltime,,,,0,0,0,0,0,0,1
5521,Senior Learning and Development Specialist,2,2200,"Minimum 02 years of experience related to Data Administration, kinh nghi?mable and proficient in using a data management tool(s) such as R, Python, Power BI, Tableau, Excel Dashboard, SQL...",2,,,,2,HN,1,0,Fulltime,,,,0,0,0,0,0,0,1
5520,Head of Paid Search,NA,5500,Excellent analytical skills – you really need to love data for this role,4,,,,4,Thailand,0,0,Fulltime,,,,0,0,0,0,0,0,1
5519,Associate Director Performance Marketing,NA,9500,Excellent analytical skills – you really need to love data for this role,4,,,,4,Thailand,0,0,Fulltime,,,,0,0,0,0,0,0,1
5518,"Associate Director, Marketing Analytics",NA,9500,Excellent analytical skills – you really need to love data for this role,4,,,,4,Thailand,0,0,Fulltime,,,,0,1,0,0,0,0,0
5517,Senior Data Governance Officer,1,3000,Having international certificates in Data Administration is an advantage; Having at least 01 year of experience in Banking - Finance industry,2,,,,2,HN,1,0,Fulltime,,,,0,0,0,0,0,0,1
5516,Data Analyst,2,2200,"At least 2 years of experience in Data Analysis, statistical modeling;",1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5515,"AI Engineer ( C ++, Computer Vision )",4,3000,4+ years of development experience,2,,,,2,HCM,1,0,Fulltime,,,,1,0,1,0,0,1,0
5514,Head of Data Platform,5,3500,"5+ years of experience as Data Manager, manipulating data sets and building statistical models.",4,,,,4,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5513,Data Engineer,4,2200,"Minimum of 4+ years’ experience in database development, integration and administration",2,,,,2,HCM,1,0,Fulltime,,,,1,0,0,0,0,0,0
5512,Data Modeling Analyst,2,2200,"2+ years of experience in data analytics/ integrated marketing analytics and measurement, working closely with business functions.",1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5511,Big Data Engineer,1,2965,"Knowledge of storage programming, dispersed data processing, large data processing (Hadoop, Spark, Elastic Search, ...)",1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5510,Data Analyst / BI,2,1500,At least 2 years of experience in data analysis,1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5508,Data Engineer,1,1250,1 year experience in the same position.,1,,,,1,HCM,1,0,Fulltime,,,,1,0,0,0,0,0,0
5507,"Senior Data Analyst, Mbi",3,2500,"Experience with BI/analytics/statistics tools and languages (Google BigQuery, Google Data Studio, R, Python, etc.);",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5506,Data Analyst,1,550,Working experience for 01 year or more in the field of data analysis,1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5504,Data Engineer ( Junior / Middle ),2,2500,At least 2-3 years of experience in data engineering with a focus on ETL development and infrastructure,1,2,,,1,HCM,1,0,Fulltime,Hybrid,,,1,0,0,1,0,1,0
5503,Finance Analyst,3,1600,"Good data & data analysis skills. Proficient in Excel and total tools, data analysis and presentation such as Power Bi - SQL, Power Query, Data Studio, ... Priority candidates with experience working with SAP / Bravo / Oracle system;",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5502,Finance Planning & Analysis Manager,4,2200,"At least 4+ years of experience at management level; Advanced in Excel skills, Power BI, data analysis tools",4,,,,4,Binh Duong,1,0,Fulltime,,,,0,0,0,0,0,0,1
5501,Senior Commercial Finance Analyst,3,2200,"Advanced Excel skill typically preferred; already familiar with other tools such as PowerBI, PowerQuery; Exceptional analytical and quantitative problem-solving skills",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5500,Finance Analyst Asia,3,2200,"Advanced Excel skill typically preferred; already familiar with other tools such as PowerBI, PowerQuery; Exceptional analytical and quantitative problem-solving skills",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5499,Data Analyst Expert,7,3000,At least 05 years of experience in data analysis and 07 years of working experience in banking and finance,2,,,,2,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5498,Data Science ( Credit Risk Modelling ),5,3000,"Minimum professional experience: 5 years in the field: data analysis, advanced data model building, robotic, digital conversion",2,,,,2,HN,1,0,Fulltime,,,,0,0,0,0,0,0,1
5497,Data Engineer,8,2330,#Data Engineer; Max 55M Gross; Strong technical experience as a data engineer with relevant experience of 8-12 years,2,,,,2,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5496,Data Engineer,NA,2200,"FPT recruits Data Engineer, Level from Junior-> Senior, working in Hanoi, Ho Chi Minh",1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5495,Data Warehouse / BI Project Manager,5,2965,NTT Data Analystta VN HCM Q1 Q1 recruited DWH-Bi Manager for 5 years of experience. Benefits package competition.,4,,,,4,HCM,1,0,Fulltime,,,,0,0,0,0,1,0,0
5494,Big Data Engineer,3,NA,Hanoi - recruiting the main data development engineer (Big Data Analysta) from 5 years of experience,2,,,,2,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5493,Head of Business Analytics and Data Science,3,3500,"Mandatory experience with 3 years or more in the management position (scale of 10 people or more) in one of the following areas: business analysis, data science, model operation.",4,,,,4,HN,1,0,Fulltime,,,,0,0,0,0,0,0,1
5492,Business Analyst | Data Analyst,3,1800,"Specialized IT, MIS or have experience in relevant specialties; Have knowledge and have built a report by Power Bi",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,1,0,1,0
5491,Data Quality Engineer ( FPT Software ),3,3000,"3+ year of experience; Knowledge of large-scale data processing languages like Pyspark, Big Data, and Hadoop concepts as well as data validation on HIVE tables",2,,,,2,HCM,1,0,Fulltime,,,,1,0,0,0,0,0,0
5490,Senior Data Analyst,2,2500,"At least 2 years of experience in data analysis, statistical modeling;",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5489,Product Strategy & Proposition Manager,3,2500,"Data driven, experience in using or applying data analytics tool in planning and decision is a plus",4,,,,4,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5488,Data Analyst,1,1500,At least 1 year's exerience as a Data Analyst,1,2,,,1,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5486,Senior Business Information System - BI Specialist,NA,1800,Advanced in using Microsoft Excel in terms of data analysis and reporting,2,,,,2,HCM,1,0,Fulltime,Hybrid,,,0,0,0,0,0,0,1
5485,Senior Data Analyst ( Underwriting Strategy ),NA,2500,"Good kinh nghi?m of SQL and at least basic kinh nghi?m of 1 more programming language like Python, R, Matlab, etc.",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5484,AI Engineer | Data Engineer Fresher - Junior,0,1270,HN Nissho VN- IT Company of NB's large IT Group- Searching #AI Engineer/ #Data Engineer Fresher-Junior. UPTO 30M,1,,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5483,Data Analyst,NA,1270,Cau Giay - Prep recruiting data analyst (20-30 million+ reward),1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5482,GCP Cloud Data Engineer,3,3000,Data engineers with between 3 and 8 years of experience,2,,,,2,HCM,1,0,Fulltime,Hybrid,,,1,0,0,0,0,0,0
5481,Senior Data Scientist,5,3000,"Minimum 5 years experience in data science, developing statistical models in banking, financial industry or ecommerce",2,,,,2,HCM,1,0,Fulltime,,,,0,0,1,0,0,0,0
5480,"Senior Consultant, Finance Management Consulting",3,1500,"A minimum of 3 - 4 years working experience in a similar role; Candidates having working experience as a data analyst, Business intelligence analyst are preferable",2,,,,2,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5478,Fresh Data Engineer,0,850,Students or candidates have experience working for less than 1 year,1,,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5476,Reporting and Planning Officer ( PHL ),1,1500,"Minimum of 1 year of relevant experience; Excellent Excel skills, proficiency with Power BI/ VBA/ Python is a plus.",1,2,,,1,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5475,Data Engineer | Database Administrator,NA,NA,HN OSP Group recruits DBA and Data Engineer positions; Interview with a single round,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5474,Senior NLP & AI Engineer,5,3000,"Minimum of 5 years of industry experience in developing and deploying generative models and NLP solutions, preferably in large-scale applications.",2,,,,2,HCM,1,0,Fulltime,Hybrid,WFH,,1,0,1,0,0,1,0
5473,Senior Data Analyst,5,1800,"Language tool: SQL (5+ years), Python (+ 3 year); Experience with Big Data (3+ years)",2,,,,2,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5472,Data Analyst,NA,2000,Coding skills in SQL and Python are required. Any other language is a plus.,1,2,,,1,HCM,1,0,Fulltime,Hybrid,,,0,1,0,0,0,0,0
5471,Head of Data Product,15,5500,"15 years of relevant experience with modern data capability including scripting, developing, debugging and using big data technologies",4,,,,4,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5470,Senior Data Scientist,10,4500,10+ years of relevant experience,2,,,,2,HCM,1,0,Fulltime,,,,0,0,1,0,0,0,0
5469,Head of Data Architect,15,7000,15+ years of experience with significant experience in the Data Engineering space.,4,,,,4,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5468,GCF2 Database Management Support Intern,0,210,"Proficiency in database management and statistical software(s) (e.g., STATA, SPSS, R Programming, Microsoft Access, SQL, Power BI etc.)",0,,,,0,HN,1,0,Fulltime,Contract,,,0,0,0,0,0,0,1
5467,Research Analyst,0,210,Proficiency in Microsoft Excel; 2nd-year students and above; Hybrid working with flexible hours; Able to commit at least 4 full days per week,0,1,,,0,HCM,1,0,Fulltime,Part-time,Hybrid,,0,1,0,0,0,0,0
5466,Senior Business Intelligence,2,2200,2-3 years of experience in data-specific roles.,1,2,,,1,HCM,1,0,Fulltime,,,,0,0,0,0,1,0,0
5465,Ufresh - Data Analyst ( Engineering ),0,850,Final year student or graduated with less than 1-year experience with technical background in industrial,0,1,,,0,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5464,Purchasing Data Analyst ( Asia ),2,2200,"2-5 years of experience in analyst role, preferable in agricultural commodity field. Working kinh nghi?m of purchasing/procurement is preferred.",1,2,,,1,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5463,Real-Time Data Analyst,0,850,Highly proficient in using MS Excel,1,,,,1,Da Nang,1,0,Fulltime,,,,0,1,0,0,0,0,0
5462,AI Computer Vision,NA,NA,Recruit mid-senior Ai Computer Vision,1,2,,,1,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5461,Data Engineer,3,NA,Remote,2,,,,2,Remote,1,1,Fulltime,,,,1,0,0,0,0,0,0
5460,Data Engineer,NA,2200,"FPT recruits Data Engineer, Level from Junior-> Senior, working in Hanoi, Ho Chi Minh",1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5459,Data Analyst,2.5,2200,At least 2.5 years of experience in the field of Data Analyst/BI,1,2,,,1,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5458,Data Engineer,5,4000,5+ years of experience in a Data Engineer role,2,,,,2,Remote,1,1,Fulltime,,,,1,0,0,0,0,0,0
5457,Senior Data Engineer,3,10000,At least 3+ years of relevant experience as a data engineer,2,,,,2,Remote,1,1,Fulltime,Part-time,,,1,0,0,0,0,0,0
5456,Data Engineer - Big Data ( Viettel Telecom ),1,2120,"Knowledge of storage programming, dispersed data processing, large data processing (Hadoop, Spark, Elastic Search ...",1,,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5455,Data Scientist ( Viettel Telecom ),3,3000,"At least 3 years working in software development, data analysis, software analysis or equivalent",2,,,,2,HN,1,0,Fulltime,,,,0,0,1,0,0,0,0
5454,Senior Data Architect,5,3000,Over 5 years of working experience in/or with banks or/and credit institutions,2,,,,2,HN,1,0,Fulltime,,,,0,0,0,0,0,0,1
5453,Data Analyst,2,NA,"2-5 years of experience in analyst role, preferable in agricultural commodity field. Working kinh nghi?m of purchasing/procurement is preferred.",1,2,,,1,HCM,1,0,Fulltime,,,,0,1,0,0,0,0,0
5452,Data Engineer,3,NA,Remote Boston Time - Contract 6-12 months; Data Analysta Engineer; Requirements from 3-5 years of experience in making Data Science or Analytics,2,,,,2,Remote,1,1,Fulltime,Contract,,,1,0,0,0,0,0,0
5451,Junior Data Scientist,1,1000,(HCM Q1) Kromlab recruits Junior Data Analysta Scientist-1 Ex. Salary $ 1k. Reporter 1 round vidata engineero call,1,,,,1,HCM,1,0,Fulltime,,,,0,0,1,0,0,0,0
5450,Data Engineer,1.5,2472,HN recruits Data Engineer 1.5-2 years of experience; Income up to 700 million/year+730k/month shift allowance,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
